Index,Orbital Period,Transition Duration,Transition Depth,Planet Rad,Planet Eqbm Temp,Stellar Effective Temp,Stellar log g,Stellar Rad,ra,dec,Output,Unnamed: 12,Unnamed: 13
17774,4.1124956,1.9071145,5537.325077,12.4396125,1510.457094,6145.0,4.07,1.64364,154.883363,48.353555,1,,
17775,3.6566206,2.557,21730.0,13.587,908.0,4489.2,4.37,0.91,133.977629,30.990348,1,,
17776,11.0783748,2.673,9060.0,10.2336,686.0,5623.0,4.39,1.06,160.404554,63.888592,1,,
17777,15.9544918,3.742,12480.0,9.88117,584.0,4798.0,4.51,0.82,170.68965,70.832276,1,,
17778,1.2220437,1.871,20110.0,14.8723,1556.0,5196.0,4.38,1.0,142.086945,66.950156,1,,
17779,14.4832964,4.696,10870.0,13.2087,1088.0,6039.0,4.47,1.02,182.709445,66.952158,1,,
17780,3.383466,2.746,1400.0,4.68953,1355.0,5838.0,4.28,1.23,150.380403,75.211897,1,,
17781,16.1020097,3.871,22600.0,13.9974,710.0,6010.0,4.56,0.92,171.789723,74.465349,1,,
17782,5.6922342,2.975,1550.0,4.57552,1067.0,5648.0,4.34,1.12,170.673731,73.507923,1,,
17783,3.2693612,2.029,10790.0,9.96136,1141.0,5814.0,4.52,0.93,165.273412,73.068232,1,,
17784,3.4952497,1.745,19250.0,12.6528,742.0,4304.8,4.36,0.9,135.496464,27.474953,1,,
17785,2.0436029,1.513,12980.0,13.3605,1179.0,5568.0,4.32,1.13,145.222922,27.950158,1,,
17786,3.2956376,2.487,20300.0,12.4635,983.0,4646.6,4.44,0.86,141.921026,46.214342,1,,
17787,16.5968329,4.395,1750.0,4.85367,827.0,6329.0,4.41,1.16,141.048951,64.318347,1,,
17788,5.1119781,1.413,1415.0,10.6694,1521.0,8562.0,3.91,2.67,104.138355,-53.545449,1,,
17789,3.0012386,3.164,13660.0,14.4673,1604.0,6331.0,4.37,1.21,188.736692,49.994859,1,,
17790,1.7763987,0.638,5670.0,10.8531,954.0,4899.3,4.5,0.84,179.957207,11.864677,1,,
17791,1.5574603,1.272,3900.0,6.15317,1212.0,5564.4,4.46,0.93,185.900563,50.544625,1,,
17792,10.9543562,4.737,8770.0,9.03653,909.0,5542.4,4.46,0.96,187.273217,31.654807,1,,
17793,3.011593,1.894,6740.0,10.544,1125.0,5542.1,4.33,1.23434,187.434324,39.760801,1,,
17794,2.1371195,2.38,15620.0,13.2766,1431.0,5570.0,4.41,1.03,192.736417,30.685937,1,,
17795,5.7310859,1.693,10870.0,11.8502,776.0,5552.1,4.37,1.07,193.655288,47.066242,1,,
17796,18.565813,3.82,9420.0,7.83236,537.0,4671.0,4.51,0.79,203.567211,65.128389,1,,
17797,2.6292572,1.582,3790.0,8.44711,1296.0,5933.0,4.21,1.35,210.951072,64.270888,1,,
17798,4.754432,2.147,13130.0,11.4372,988.0,5491.7,4.47,0.94,175.145084,28.549579,1,,
17799,4.4100654,2.362,6450.0,8.08157,1088.0,5726.0,4.46,0.99,162.38823,27.190538,1,,
17800,3.8951475,1.386,8970.0,14.6884,1114.0,6071.0,4.15,1.48,212.493524,70.06552,1,,
17801,5.5822739,1.463,7390.0,11.6541,788.0,5997.0,4.29,1.25,210.513462,71.32676,1,,
17802,6.0835972,2.133,8460.0,12.0351,886.0,5579.0,4.25,1.22,204.080277,68.517361,1,,
17803,6.5846694,2.572,22460.0,14.5999,897.0,5852.0,4.49,0.97,193.898669,57.141015,1,,
17804,4.1225477,2.206,5760.0,12.0574,1115.0,5662.2,4.06,1.55,170.454473,33.991382,1,,
17805,0.8377576,1.074,1410.0,6.706,1889.0,6322.5,4.13,1.6,184.351375,29.633535,1,,
17806,4.8104679,2.547,1940.0,4.19665,1002.0,5332.3,4.47,0.92,184.624586,34.897976,1,,
17807,2.1614819,1.076,6340.0,8.10367,899.0,4501.0,4.41,0.87,188.180754,34.49481,1,,
17808,3.3401814,2.452,4960.0,8.19874,1189.0,5508.5,4.31,1.14,196.844286,44.377372,1,,
17809,3.0215428,3.08889,15111.71145,10.544,1260.760239,5622.1,4.33,1.23434,283.003442,52.4328,1,,
17810,4.2441117,3.771,7540.0,14.06,1418.0,6034.0,4.1,1.57,181.518741,41.471434,1,,
17811,5.3298577,1.95,9330.0,8.01139,727.0,4773.0,4.52,0.8,184.759891,36.609641,1,,
17812,2.5228506,2.15,21300.0,12.9082,1166.0,5294.0,4.56,0.84,180.258934,55.846201,1,,
