Index,Output,Orbital Period,Transition Duration,Transition Depth,Planet Rad,Planet Eqbm Temp,Stellar Effective Temp,Stellar log g,Stellar Rad,ra,dec,,,,,
146,0,2.384052875,3.0918,1270.00,17.06,1010,4794,4.58,0.701,299.64285,40.691238,,,,,
147,1,7.953547,2.6312,875.00,2.25,696,4768,4.536,0.779,291.15878,40.750271,,,,,
148,1,4.14451656,2.3421,392.00,1.48,864,4768,4.536,0.779,291.15878,40.750271,,,,,
149,0,4.859386384,2.2757,6040.00,38.33,1114,6072,4.47,0.988,292.21436,40.759762,,,,,
150,1,10.52629458,2.5211,9770.00,8.24,713,5386,4.553,0.793,293.87811,41.66177,,,,,
151,1,4.583520948,2.7055,3810.00,5.39,1038,5815,4.54,0.877,299.18686,41.74268,,,,,
152,1,3.76181843,3.5176,511.00,2.66,1121,5653,4.472,0.949,283.31638,41.83712,,,,,
153,1,8.20396958,2.9667,1020.00,3.01,742,5015,4.499,0.826,286.5657,41.808399,,,,,
154,1,14.49645186,4.016,648.00,3.01,613,5015,4.499,0.826,286.5657,41.808399,,,,,
155,1,6.54626149,2.75,656.00,2.19,810,5251,4.581,0.817,292.23676,41.08588,,,,,
156,1,12.71809866,3.0957,1150.00,2.31,562,4702,4.592,0.686,292.91312,41.060921,,,,,
157,1,36.06588163,4.3246,1560.00,2.64,397,4702,4.592,0.686,292.91312,41.060921,,,,,
158,1,4.190425659,2.8589,2880.00,6.21,1234,6073,4.392,1.135,293.49661,41.137589,,,,,
159,1,3.709870784,3.0694,2020.00,4.35,1151,5727,4.463,0.978,283.86441,41.346458,,,,,
160,1,16.3297527,6.271,1190.00,3.75,727,5878,4.444,0.987,288.51001,41.301769,,,,,
161,1,27.80756622,4.21587,25400.00,13.84,554,5862,4.584,0.785,296.88821,41.396091,,,,,
162,1,80.8723469,11.195,3600.00,7.59,452,5510,4.222,1.238,287.1543,41.565788,,,,,
163,0,3.166465862,2.9381,4360.00,26.82,954,4968,4.575,0.704,284.86929,41.679192,,,,,
164,1,24.99324319,5.9409,270.00,2.29,712,5718,4.181,1.317,287.36279,38.649601,,,,,
165,1,10.35533116,3.1775,751.00,2.47,777,5501,4.462,0.918,288.9942,41.633282,,,,,
